id,uri,observed_on,latitude,longitude,quality_grade,public_positional_accuracy,taxon.name,taxon.preferred_common_name,taxon.rank,user.login,within_property
111643216,https://www.inaturalist.org/observations/111643216,2022-04-16,39.3819296,-76.64600381,research,6.0,Claytonia virginica,Virginia Springbeauty,species,bombus_frankii,False
111643428,https://www.inaturalist.org/observations/111643428,2022-04-16,39.3615999,-76.6493933,research,1200.0,Glechoma hederacea,ground-ivy,species,bombus_frankii,False
111647125,https://www.inaturalist.org/observations/111647125,2022-04-16,39.38221799,-76.64684215,needs_id,7.0,Luzula echinata,Hedgehog Woodrush,species,bombus_frankii,False
111658111,https://www.inaturalist.org/observations/111658111,2022-04-16,39.35542666,-76.62460217,research,6.0,Xanthorhiza simplicissima,Shrub Yellowroot,species,bombus_frankii,False
111795796,https://www.inaturalist.org/observations/111795796,2022-04-17,38.98000924,-76.95278761,research,7.0,Ajuga reptans,carpet bugle,species,bombus_frankii,False
113148655,https://www.inaturalist.org/observations/113148655,2022-04-27,38.98034706,-76.9528267533,needs_id,505.0,Rhododendron,rhododendrons and azaleas,genus,bombus_frankii,False
114070030,https://www.inaturalist.org/observations/114070030,2022-04-30,39.3538179722,-79.179822,needs_id,,Packera,American groundsels and ragworts,genus,ogbees,False
114070242,https://www.inaturalist.org/observations/114070242,2022-04-30,39.3581599722,-79.1956009722,research,,Acer pensylvanicum,striped maple,species,ogbees,True
114071108,https://www.inaturalist.org/observations/114071108,2022-04-30,39.3581599722,-79.1956009722,research,,Viola hastata,Halberd-leaved violet,species,ogbees,True
114071292,https://www.inaturalist.org/observations/114071292,2022-04-30,39.3583113997,-79.1955654,research,,Apiosporina morbosa,black knot,species,ogbees,True
114071486,https://www.inaturalist.org/observations/114071486,2022-04-30,39.358325,-79.195637,needs_id,,Viola,violets,genus,ogbees,True
114071828,https://www.inaturalist.org/observations/114071828,2022-04-30,39.3590354,-79.1953215,needs_id,,Rosaceae,rose family,family,ogbees,True
114072621,https://www.inaturalist.org/observations/114072621,2022-04-30,39.359135,-79.194506,needs_id,,Acer,maples,genus,ogbees,True
114084214,https://www.inaturalist.org/observations/114084214,2022-04-30,39.359251,-79.194354,research,,Leucobryum glaucum,Pincushion Moss,species,ogbees,True
114084254,https://www.inaturalist.org/observations/114084254,2022-04-30,39.359737,-79.193927,needs_id,,Viola,violets,genus,ogbees,True
